Date,Open,High,Low,Close
2020-01-01,185.15,186.7,183.6,184.45
2020-01-02,185.0,194.7,184.6,193.75
2020-01-03,192.9,195.65,189.25,191.1
2020-01-06,191.0,191.0,185.05,185.65
2020-01-07,187.0,189.4,182.3,184.7
2020-01-08,180.2,184.2,180.2,182.55
2020-01-09,184.85,192.75,184.25,192.0
2020-01-10,192.0,199.0,190.0,196.35
2020-01-13,194.75,197.75,191.4,196.25
2020-01-14,195.7,198.25,193.6,195.85
2020-01-15,195.0,201.7,194.0,200.35
2020-01-16,199.5,200.6,196.9,197.55
2020-01-17,197.25,199.45,195.7,197.3
2020-01-20,198.0,201.45,194.3,195.0
2020-01-21,195.5,196.4,190.2,191.4
2020-01-22,191.95,192.5,184.25,185.6
2020-01-23,186.75,190.4,183.8,188.4
2020-01-24,188.0,191.0,185.0,186.5
2020-01-27,185.7,186.9,180.85,182.2
2020-01-28,183.9,184.3,174.9,176.1
2020-01-29,178.8,188.9,178.55,188.05
2020-01-30,190.95,192.55,184.25,186.2
2020-01-31,186.3,188.35,175.95,176.6
2020-02-01,175.4,178.8,163.7,165.6
2020-02-03,163.5,168.3,159.55,163.85
2020-02-04,166.55,168.6,161.2,165.7
2020-02-05,167.4,184.95,166.6,183.75
2020-02-06,182.0,183.4,175.75,178.85
2020-02-07,177.4,178.15,173.0,173.6
2020-02-10,173.2,173.2,168.0,168.9
2020-02-11,171.85,175.15,168.4,169.75
2020-02-12,173.0,173.3,169.0,170.95
2020-02-13,171.35,172.35,168.1,169.5
2020-02-14,172.0,176.2,168.3,169.1
2020-02-17,170.4,171.35,166.35,169.1
2020-02-18,168.0,168.0,158.6,161.6
2020-02-19,162.85,164.6,153.05,158.05
2020-02-20,157.95,162.3,156.0,158.5
2020-02-24,154.0,155.9,149.6,150.65
2020-02-25,152.2,153.4,147.45,149.9
2020-02-26,146.9,147.9,143.7,144.55
2020-02-27,144.15,146.75,141.1,145.25
2020-02-28,138.85,139.6,127.05,128.95
2020-03-02,133.0,133.9,123.8,125.4
2020-03-03,127.5,131.4,125.25,130.35
2020-03-04,129.6,129.6,120.55,126.2
2020-03-05,127.55,129.15,124.25,125.75
2020-03-06,115.0,117.3,112.8,114.2
2020-03-09,109.0,109.85,104.25,105.7
2020-03-11,104.85,106.5,97.8,98.9
2020-03-12,91.1,94.9,84.1,88.0
2020-03-13,81.9,94.15,78.05,89.75
2020-03-16,85.6,87.65,82.2,82.95
2020-03-17,83.05,85.0,77.4,77.95
2020-03-18,79.9,80.45,75.1,75.5
2020-03-19,70.0,76.5,68.75,72.95
2020-03-20,74.0,79.6,72.65,77.3
2020-03-23,70.0,72.0,66.0,66.2
2020-03-24,69.9,71.5,63.5,68.55
2020-03-25,67.75,71.7,67.25,70.25
2020-03-26,71.45,73.5,68.3,70.8
2020-03-27,72.05,75.9,69.35,70.7
2020-03-30,68.8,70.0,67.25,68.15
2020-03-31,70.6,71.5,68.2,71.05
2020-04-01,70.5,71.65,67.55,67.95
2020-04-03,66.9,66.9,64.8,65.3
2020-04-07,68.55,69.3,66.9,67.25
2020-04-08,66.5,71.6,65.4,67.6
2020-04-09,69.6,76.25,69.1,74.6
2020-04-13,76.0,77.6,72.7,74.25
2020-04-15,75.4,78.7,71.95,72.9
2020-04-16,71.75,75.4,71.0,74.65
2020-04-17,78.3,78.3,74.7,76.85
2020-04-20,76.85,83.4,75.5,80.45
2020-04-21,78.0,78.0,74.0,74.65
2020-04-22,74.45,76.55,72.55,75.9
2020-04-23,76.75,78.65,75.4,75.65
2020-04-24,75.0,76.9,74.0,74.2
2020-04-27,75.9,76.2,74.8,75.25
2020-04-28,75.65,78.2,75.2,76.95
2020-04-29,77.45,79.3,76.55,78.15
2020-04-30,85.95,93.75,85.95,93.25
2020-05-04,87.0,87.2,81.5,83.9
2020-05-05,86.0,86.8,80.4,80.9
2020-05-06,81.55,83.95,80.35,83.2
2020-05-07,82.9,84.65,82.1,82.5
2020-05-08,84.5,84.95,80.55,81.05
2020-05-11,81.45,90.65,81.4,86.1
2020-05-12,85.95,87.7,83.5,86.2
2020-05-13,92.5,92.5,86.25,87.2
2020-05-14,83.95,85.3,82.55,83.8
2020-05-15,84.7,85.35,82.8,84.35
2020-05-18,84.5,84.5,79.6,80.65
2020-05-19,82.5,85.65,81.5,81.8
2020-05-20,81.25,84.4,80.7,83.45
2020-05-21,83.1,85.2,82.9,84.1
2020-05-22,83.4,83.9,82.0,82.8
2020-05-26,83.9,85.7,82.6,83.1
2020-05-27,84.1,86.0,84.0,84.55
2020-05-28,86.0,88.15,84.55,87.0
2020-05-29,85.55,87.5,84.65,87.0
2020-06-01,88.9,91.2,88.0,89.55
2020-06-02,90.0,97.3,89.75,96.5
2020-06-03,100.0,101.45,97.4,98.75
2020-06-04,99.0,101.4,96.8,98.5
2020-06-05,100.45,112.45,99.05,110.75
2020-06-08,114.0,119.15,113.35,115.45
2020-06-09,117.45,117.9,110.25,111.45
2020-06-10,111.0,113.0,108.5,111.4
2020-06-11,109.9,111.15,105.0,106.15
2020-06-12,98.0,106.25,98.0,105.3
2020-06-15,104.65,104.65,100.05,100.5
2020-06-16,102.0,103.5,92.0,94.75
2020-06-17,93.0,96.4,91.8,95.4
2020-06-18,95.0,97.2,94.15,96.35
2020-06-19,96.5,103.9,95.6,102.5
2020-06-22,102.35,104.9,101.0,102.65
2020-06-23,103.0,106.0,101.9,104.4
2020-06-24,105.25,110.8,104.2,104.8
2020-06-25,103.85,106.3,101.65,103.8
2020-06-26,105.4,106.05,100.35,101.4
2020-06-29,101.4,101.4,98.05,99.45
2020-06-30,101.75,102.3,97.3,98.25
2020-07-01,99.0,101.45,98.2,100.75
2020-07-02,100.75,102.95,100.4,101.55
2020-07-03,102.85,106.35,102.1,103.45
2020-07-06,105.0,109.9,104.5,109.0
2020-07-07,109.8,112.6,108.05,109.05
2020-07-08,109.5,110.85,104.2,105.35
2020-07-09,106.3,108.95,104.65,106.95
2020-07-10,106.7,108.6,105.4,107.6
2020-07-13,108.85,112.1,106.85,108.0
2020-07-14,106.9,107.55,104.1,105.15
2020-07-15,106.8,106.8,102.5,103.2
2020-07-16,103.95,103.95,100.6,102.95
2020-07-17,103.65,106.95,103.3,106.4
2020-07-20,106.35,106.35,103.85,105.05
2020-07-21,106.0,109.7,105.5,108.45
2020-07-22,108.5,109.75,104.25,105.15
2020-07-23,105.45,106.45,104.7,106.05
2020-07-24,104.7,105.5,102.7,103.75
2020-07-27,104.0,104.5,101.3,101.7
2020-07-28,102.3,107.2,102.0,106.45
2020-07-29,108.1,108.75,104.85,105.75
2020-07-30,106.4,106.75,102.85,103.65
2020-07-31,104.0,105.4,102.3,104.65
2020-08-03,103.0,114.4,102.9,113.05
2020-08-04,112.95,115.1,110.8,111.45
2020-08-05,112.4,117.65,112.0,115.4
2020-08-06,116.2,117.7,115.5,116.8
2020-08-07,117.0,119.7,116.0,119.1
2020-08-10,119.95,124.7,119.7,123.85
2020-08-11,125.0,125.8,121.4,122.3
2020-08-12,121.0,126.4,120.6,125.35
2020-08-13,126.1,131.9,124.4,131.15
2020-08-14,131.15,132.65,123.7,124.6
2020-08-17,124.5,126.25,120.6,123.55
2020-08-18,124.0,127.5,123.6,125.6
2020-08-19,127.0,127.6,124.75,125.15
2020-08-20,123.45,125.65,121.1,121.7
2020-08-21,124.2,124.2,120.15,120.9
2020-08-24,122.0,123.0,120.8,121.2
2020-08-25,121.8,128.35,121.1,127.1
2020-08-26,130.5,139.0,128.35,137.9
2020-08-27,140.1,146.85,139.3,144.25
2020-08-28,144.15,146.2,140.5,142.8
2020-08-31,144.5,147.95,138.2,143.2
2020-09-01,143.4,145.15,140.4,143.8
2020-09-02,144.3,151.65,141.45,150.3
2020-09-03,151.6,155.2,149.55,151.85
2020-09-04,147.9,153.65,147.0,147.8
2020-09-07,150.0,152.0,148.0,149.4
2020-09-08,149.45,149.6,141.2,142.3
2020-09-09,141.0,141.75,135.7,140.1
2020-09-10,142.8,144.5,138.0,143.3
2020-09-11,143.1,146.8,141.65,144.3
2020-09-14,147.2,151.1,145.5,148.55
2020-09-15,149.4,149.4,146.55,148.4
2020-09-16,149.2,154.3,148.55,151.45
2020-09-17,150.8,151.0,146.2,147.65
2020-09-18,148.7,150.5,146.25,147.9
2020-09-21,147.75,147.75,135.5,137.45
2020-09-22,138.0,138.15,129.65,133.1
2020-09-23,135.5,136.7,127.9,131.4
2020-09-24,127.9,128.8,122.15,122.8
2020-09-25,123.7,128.35,123.1,127.25
2020-09-28,128.9,134.3,127.5,132.85
2020-09-29,134.95,136.0,130.7,131.7
2020-09-30,131.55,134.4,130.3,133.3
2020-10-01,135.9,136.5,132.55,133.5
2020-10-05,136.95,137.5,132.05,133.9
2020-10-06,138.0,145.8,136.0,144.75
2020-10-07,144.25,144.5,139.8,141.0
2020-10-08,142.85,143.5,139.6,140.95
2020-10-09,141.15,142.65,138.0,138.45
2020-10-12,139.65,139.65,133.0,135.9
2020-10-13,135.4,137.1,132.85,134.1
2020-10-14,133.75,134.65,128.8,130.7
2020-10-15,131.5,134.35,126.5,126.95
2020-10-16,129.4,130.05,126.0,127.75
2020-10-19,129.8,130.4,127.8,128.25
2020-10-20,128.1,130.3,126.35,129.65
2020-10-21,131.05,133.1,128.3,130.25
2020-10-22,129.7,134.6,128.45,133.5
2020-10-23,134.9,138.9,134.1,137.0
2020-10-26,138.4,140.8,131.25,133.7
2020-10-27,134.15,136.75,130.85,135.65
2020-10-28,139.0,143.25,133.5,134.8
2020-10-29,132.0,133.0,130.0,131.9
2020-10-30,133.2,134.5,130.3,132.65
2020-11-02,133.65,134.0,131.1,132.85
2020-11-03,135.0,137.4,133.55,134.1
2020-11-04,135.6,137.0,134.0,135.9
2020-11-05,137.0,138.0,136.0,137.65
2020-11-06,137.65,142.3,137.65,139.0
2020-11-09,140.6,141.5,138.7,141.0
2020-11-10,144.05,146.7,142.75,146.0
2020-11-11,146.5,151.5,145.65,150.95
2020-11-12,150.95,153.85,150.0,151.2
2020-11-13,150.0,150.0,145.35,146.35
2020-11-14,148.7,150.8,148.0,148.85
2020-11-17,152.5,159.35,152.2,158.0
2020-11-18,158.85,178.8,158.55,173.5
2020-11-19,171.4,176.35,166.55,167.95
2020-11-20,170.05,171.55,165.55,169.1
2020-11-23,169.5,173.9,165.55,170.7
2020-11-24,171.85,175.5,171.1,172.05
2020-11-25,175.0,176.8,169.25,171.45
2020-11-26,171.6,175.0,171.05,173.75
2020-11-27,174.65,183.85,174.65,180.35
2020-12-01,182.35,182.4,178.1,179.75
2020-12-02,184.0,187.35,181.1,183.6
2020-12-03,185.0,186.0,183.25,184.85
2020-12-04,186.5,188.8,182.2,184.15
2020-12-07,184.45,186.45,182.7,183.55
2020-12-08,184.95,185.7,178.95,181.8
2020-12-09,183.0,186.4,181.65,182.7
2020-12-10,182.7,182.7,176.4,177.6
2020-12-11,177.95,181.45,176.5,178.85
2020-12-14,181.0,181.5,176.7,177.65
2020-12-15,176.45,179.7,173.25,178.9
2020-12-16,181.0,183.8,180.1,182.55
2020-12-17,184.0,184.0,180.65,181.7
2020-12-18,180.9,181.5,176.65,180.55
2020-12-21,176.0,177.55,162.5,164.55
2020-12-22,164.55,169.2,156.7,164.95
2020-12-23,165.0,169.7,163.4,169.2
2020-12-24,172.0,178.0,172.0,175.95
2020-12-28,179.85,187.4,179.0,186.35
2020-12-29,187.9,188.45,181.1,183.45
2020-12-30,183.1,185.4,180.4,184.15
2020-12-31,184.85,187.5,182.8,183.85
